function,count
vec_new_from_linear_memory,4709
put_contract_data,4563
has_contract_data,4562
get_contract_data,4555
require_auth,4487
symbol_new_from_linear_memory,4421
map_new_from_linear_memory,3871
obj_from_i128_pieces,3749
obj_to_i128_hi64,3665
obj_to_i128_lo64,3665
map_unpack_to_linear_memory,3584
call,3545
bytes_len,3400
obj_cmp,3366
get_current_contract_address,3061
contract_event,3046
vec_len,3021
vec_new,2976
vec_get,2927
obj_to_u64,2773
obj_from_u64,2651
update_current_contract_wasm,2541
extend_current_contract_instance_and_code_ttl,2490
extend_contract_data_ttl,2423
fail_with_error,2175
vec_push_back,2074
get_ledger_timestamp,2037
del_contract_data,1876
get_ledger_sequence,1697
string_new_from_linear_memory,1459
obj_from_u128_pieces,1284
bytes_new_from_linear_memory,1267
obj_to_u128_hi64,1232
obj_to_u128_lo64,1232
vec_unpack_to_linear_memory,1044
symbol_index_in_linear_memory,1031
bytes_append,942
authorize_as_curr_contract,901
map_new,829
map_has,823
map_put,817
get_max_live_until_ledger,771
map_get,763
bytes_new,698
compute_hash_sha256,661
serialize_to_bytes,661
bytes_slice,655
vec_first_index_of,624
bytes_copy_to_linear_memory,590
try_call,512
string_len,499
bytes_front,482
u256_val_from_be_bytes,458
map_len,424
vec_del,421
strkey_to_address,347
vec_put,328
u256_val_to_be_bytes,317
vec_back,308
map_key_by_pos,303
map_val_by_pos,303
bytes_get,274
create_contract_with_constructor,267
u256_div,253
u256_add,251
u256_mul,250
map_del,246
string_copy_to_linear_memory,244
compute_hash_keccak256,229
bytes_copy_from_linear_memory,222
map_keys,206
vec_front,203
u256_rem_euclid,187
bytes_push,186
verify_sig_ed25519,163
create_contract,158
i256_div,154
obj_from_i64,154
i256_mul,150
u256_sub,150
i256_val_to_be_bytes,143
deserialize_from_bytes,139
i256_sub,139
i256_val_from_be_bytes,138
address_to_strkey,133
require_auth_for_args,125
i256_rem_euclid,123
obj_to_i64,122
get_address_from_muxed_address,121
obj_from_u256_pieces,99
i256_add,95
string_to_bytes,88
vec_push_front,88
get_id_from_muxed_address,85
get_contract_id,74
bn254_multi_pairing_check,72
recover_key_ecdsa_secp256k1,71
prng_u64_in_inclusive_range,70
get_address_executable,69
bytes_put,66
verify_sig_ecdsa_secp256r1,66
bn254_g1_add,63
vec_pop_front,62
vec_insert,61
map_values,59
bn254_g1_mul,55
bls12_381_multi_pairing_check,52
bls12_381_g1_add,51
vec_append,42
u256_shl,41
bls12_381_hash_to_g2,40
vec_pop_back,40
poseidon2_permutation,33
vec_binary_search,33
prng_bytes_new,31
upload_wasm,28
get_ledger_network_id,26
u256_shr,26
extend_contract_instance_and_code_ttl,24
obj_from_i256_pieces,24
obj_to_i256_hi_hi,23
obj_to_i256_hi_lo,23
obj_to_i256_lo_hi,23
obj_to_i256_lo_lo,23
log_from_linear_memory,20
bn254_g1_msm,14
extend_contract_code_ttl,13
extend_contract_instance_ttl,13
bls12_381_g1_mul,12
bn254_fr_add,12
create_asset_contract,12
obj_to_u256_hi_hi,12
obj_to_u256_hi_lo,12
obj_to_u256_lo_hi,12
obj_to_u256_lo_lo,12
vec_slice,12
bls12_381_check_g1_is_in_subgroup,10
bn254_fr_mul,9
bn254_fr_sub,9
bls12_381_hash_to_g1,8
bn254_fr_inv,8
bytes_to_string,8
poseidon_permutation,6
get_asset_contract_id,5
prng_reseed,5
prng_vec_shuffle,5
bls12_381_fr_add,4
bn254_fr_pow,4
bn254_g1_is_on_curve,4
i256_pow,4
vec_last_index_of,4
bls12_381_fr_sub,3
delegate_account_auth,3
bls12_381_fr_mul,2
bls12_381_g1_msm,2
bytes_back,2
get_delegated_signers_for_current_auth_check,2
u256_pow,2
bls12_381_check_g2_is_in_subgroup,1
bls12_381_g1_is_on_curve,1
bls12_381_g2_is_on_curve,1
